Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-09-14,,,,,,,
2017-09-15,,,,,,,
2017-09-16,,,,,,,
2017-09-17,,,,,,,
2017-09-18,,,,,,,
2017-09-19,,,,,,,
2017-09-20,4.0,,,,,4.0,
2017-09-21,4.0,,,,,4.0,
2017-09-22,2.0,,,,,1.0,
2017-09-23,,,,,,,
2017-09-24,,,,,,,
2017-09-25,2.0,,,,,1.0,
2017-09-26,2.0,,,,,1.0,
2017-09-27,8.0,,,,,9.0,
2017-09-28,1124.0,,,,,1514.0,
2017-09-29,2030.0,4174650.0,53990210.288,3109.3618,6.91,3057.0,349410486.425
2017-09-30,2303.0,6410870.0,138812823.739,955.68385,4.18,3024.0,50429575.29
2017-10-01,1467.0,15741400.0,196750392.547,1150.22,5.78,2368.0,40545663.0406
2017-10-02,1519.0,13543300.0,266263939.265,1454.0,7.27,2113.0,81590423.9271
2017-10-03,883.0,5546400.0,239022757.701,976.853948956,6.52,1195.0,27559315.8382
2017-10-04,936.0,4136630.0,295533282.311,936.90901827,5.4,1322.0,29450796.2155
2017-10-05,1258.0,3646930.0,232642712.709,425.0,4.25,1781.0,20908352.5138
2017-10-06,1204.0,2282420.0,230757554.44,326.2482,4.22,1459.0,12338304.7158
2017-10-07,1095.0,3388420.0,217897295.772,398.0,3.98,1487.0,6138763.54629
2017-10-08,1211.0,2501230.0,183351273.199,315.394342817,3.35,1569.0,11656565.1378
2017-10-09,1018.0,2942420.0,188327681.873,345.0,3.45,1311.0,7590273.69376
2017-10-10,1059.0,2384720.0,166764777.425,263.72093705,3.05,1339.0,9799135.06335
2017-10-11,1176.0,3229530.0,182059668.446,333.824175,3.33,1577.0,8830779.1604
2017-10-12,843.0,2160950.0,210967901.097,241.781101878,3.86,1006.0,3251869.36159
2017-10-13,1148.0,2599040.0,196007288.564,334.277184828,3.58,1430.0,4081312.24179
2017-10-14,905.0,1515720.0,179055128.4,181.447947368,3.27,1083.0,2136926.76436
2017-10-15,801.0,1371840.0,160788487.764,292.824,2.94,977.0,1684927.59575
2017-10-16,1972.0,5613960.0,164139291.254,591.84276,3.0,2756.0,16932353.5973
2017-10-17,1273.0,6084920.0,189111614.787,415.2,3.46,1725.0,13825626.0201
2017-10-18,839.0,4956180.0,168487181.649,303.71264,3.08,1128.0,10252466.4252
2017-10-19,715.0,3695910.0,162074239.785,206.029997855,2.96,896.0,4822810.44329
2017-10-20,961.0,4634470.0,162158823.391,297.0,2.97,1290.0,7773289.0124
2017-10-21,815.0,5154440.0,128393248.913,292.5725,2.75,1089.0,3994796.17149
2017-10-22,806.0,5401130.0,117415422.372,258.286664348,2.51,1030.0,3050299.74316
2017-10-23,1811.0,13532400.0,166571532.612,765.250391356,3.56,2746.0,11025668.9534
2017-10-24,1218.0,6991420.0,143286704.203,266.836902732,3.06,1533.0,16582548.445
2017-10-25,869.0,6644420.0,142551929.027,286.417930891,3.05,1138.0,4129131.02858
2017-10-26,815.0,5668710.0,152975061.829,317.475728153,3.27,1072.0,4119884.15109
2017-10-27,826.0,3240800.0,141914342.959,209.76,3.04,992.0,2323243.17402
2017-10-28,794.0,3545970.0,137553609.789,226.38,2.94,952.0,2434424.31285
2017-10-29,796.0,3768150.0,133132373.384,185.435819202,2.85,994.0,2241150.76731
2017-10-30,864.0,3316740.0,137919446.107,213.585654353,2.95,1033.0,1956703.37566
2017-10-31,1016.0,4393950.0,125311471.351,218.179867364,2.68,1326.0,1848505.65557
2017-11-01,1297.0,4220950.0,124385310.996,224.839088286,2.66,1746.0,2818376.68061
2017-11-02,1187.0,4052270.0,105471262.0,190.019808662,2.26,1506.0,2562150.95251
2017-11-03,921.0,4608760.0,107512554.147,249.801860994,2.3,1288.0,3153132.05785
2017-11-04,739.0,3843900.0,120403308.355,156.981204939,2.57,958.0,1406359.70244
2017-11-05,694.0,3216540.0,109747231.596,235.0,2.35,875.0,2201656.63932
2017-11-06,967.0,6400980.0,121066366.306,257.705,2.59,1307.0,3586520.06503
2017-11-07,1179.0,6463600.0,130314249.315,279.0,2.79,1649.0,3907356.15549
2017-11-08,1536.0,10930800.0,146400236.253,249.651702637,3.13,1968.0,6863124.02696
2017-11-09,2105.0,10186400.0,171263641.346,237.9,3.66,2797.0,9682917.29514
2017-11-10,1645.0,6291400.0,193525681.087,247.566939512,4.14,2015.0,4141837.20118
2017-11-11,1256.0,6157120.0,176554308.216,211.691774133,3.78,1552.0,2836722.92727
2017-11-12,1479.0,5216980.0,181563143.298,194.0,3.88,1911.0,5380964.33654
2017-11-13,1030.0,4445720.0,169350320.316,200.1,3.45,1290.0,2014448.86093
2017-11-14,937.0,4635890.0,194298333.209,399.546031738,3.96,1105.0,3034391.23654
2017-11-15,1211.0,4302840.0,190117705.344,161.658633256,3.88,1194.0,1790104.4378
2017-11-16,1294.0,5030580.0,186768992.474,206.854568549,3.82,1332.0,2304852.79527
2017-11-17,1662.0,4069920.0,174454028.724,175.775,3.56,1691.0,3407786.2265
2017-11-18,1252.0,4922050.0,165006666.532,158.251618398,3.37,1324.0,1617376.60354
2017-11-19,1632.0,7020010.0,192908850.784,199.7974,3.94,1873.0,9423410.2157
2017-11-20,1377.0,5253100.0,177504611.382,143.53147177,3.63,1560.0,3309432.858
2017-11-21,1122.0,4021460.0,183433776.639,196.268605931,3.75,1112.0,3721718.54155
2017-11-22,1299.0,4335110.0,180594063.613,173.09792214,3.69,1459.0,2151145.74097
2017-11-23,1128.0,5002100.0,179516998.677,178.901827291,3.67,1074.0,1770201.78994
2017-11-24,1186.0,4521800.0,176442047.463,205.49925,3.61,1284.0,2708777.69379
2017-11-25,1162.0,4452600.0,178624981.224,174.087814121,3.65,1130.0,1892225.19099
2017-11-26,1688.0,6857590.0,191875983.286,199.201386149,3.92,2025.0,3007875.42337
2017-11-27,1586.0,6660970.0,216932694.228,151.94234652,4.41,1755.0,11954954.2621
2017-11-28,1461.0,6433560.0,214364892.355,125.714716069,4.33,1698.0,5424248.81627
2017-11-29,1572.0,7243310.0,209337882.273,203.446801234,4.21,1878.0,7559439.87105
2017-11-30,1206.0,8971200.0,179728941.174,181.729079155,3.61,1498.0,3060534.45447
2017-12-01,1362.0,7879480.0,222421285.9,174.323999956,4.38,1643.0,10859722.9125
2017-12-02,2408.0,16700600.0,233565630.502,145.376803064,4.6,3101.0,10881478.1635
2017-12-03,2348.0,12708800.0,257056869.442,167.31,5.07,2876.0,6372430.94191
2017-12-04,2863.0,19911800.0,283303362.528,183.915185957,5.58,3520.0,12574737.6863
2017-12-05,2618.0,13171800.0,338766504.069,133.290366603,6.68,2662.0,3683743.94847
2017-12-06,3664.0,35772100.0,322939473.441,229.68,6.38,4259.0,16160895.9644
2017-12-07,3481.0,31185000.0,376360185.58,408.805400107,7.44,4383.0,13637664.993
2017-12-08,3380.0,20075900.0,355816936.299,633.6,7.04,4147.0,13288306.8272
2017-12-09,2731.0,19052200.0,392740526.123,636.55725,7.77,3260.0,31221686.7014
2017-12-10,2284.0,14546100.0,408404425.758,389.088182644,8.08,2557.0,9330793.06615
2017-12-11,2773.0,15579400.0,367519258.023,231.5495,7.27,3125.0,15899535.2435
2017-12-12,3384.0,20261300.0,377407722.786,257.450329444,7.4,3929.0,21163432.6952
2017-12-13,2852.0,16650600.0,391561838.744,277.214161932,7.67,3362.0,12559618.5068
2017-12-14,3140.0,24991300.0,389163182.83,418.113610992,7.63,3880.0,13049390.3379
2017-12-15,2802.0,25707100.0,478342434.446,521.821418453,9.38,3386.0,15351870.9238
2017-12-16,2752.0,23375500.0,459721781.955,285.106141019,9.01,3181.0,9926284.87521
2017-12-17,3518.0,17546300.0,519504525.631,296.359612089,10.19,4084.0,12192121.9202
2017-12-18,3029.0,32649100.0,507191554.099,472.426,9.95,3715.0,24700955.9011
2017-12-19,3676.0,36828800.0,576168612.088,576.6567233,11.17,4579.0,46201423.952
2017-12-20,2991.0,27937400.0,526001021.96,526.32,10.2,3621.0,14766714.2616
2017-12-21,3789.0,33123300.0,470017232.213,806.755179571,9.12,4589.0,23678568.2811
2017-12-22,3717.0,27288000.0,582692095.89,986.842105312,11.25,4587.0,23253807.2945
2017-12-23,2440.0,17854100.0,478549810.806,447.628513771,8.89,2838.0,27258261.4806
2017-12-24,1502.0,13424700.0,543742735.156,585.8,10.1,1812.0,7711804.6768
2017-12-25,2047.0,34627100.0,541151263.473,513.06,10.06,2593.0,13317940.328
2017-12-26,2143.0,32470100.0,640293819.2,476.88178881,11.9,2643.0,10713859.6447
2017-12-27,2706.0,42588800.0,678537677.463,486.007539989,12.61,3381.0,24224031.2532
2017-12-28,6421.0,130469000.0,871195399.159,796.297325747,16.04,9132.0,94778355.2855
2017-12-29,5344.0,66210600.0,905336047.411,507.48608567,16.68,6719.0,68613395.8731
2017-12-30,4563.0,40654100.0,779592916.636,352.897,14.36,5279.0,47346661.4848
2017-12-31,2911.0,33189700.0,660158040.459,380.232794621,12.18,3385.0,14874085.8916
2018-01-01,2894.0,35137200.0,696326127.807,477.858891208,12.86,3196.0,24974331.6637
2018-01-02,3505.0,45439100.0,679003263.518,369.698955987,12.45,3518.0,21649613.205
2018-01-03,4406.0,44618100.0,651735709.293,352.024779453,11.95,4293.0,12063736.7526
2018-01-04,2389.0,59457600.0,635131369.11,377.278791823,11.65,1975.0,5244075.15743
2018-01-05,1475.0,43428800.0,704651501.246,793.94253555,12.93,1326.0,16640880.6359
2018-01-06,1688.0,41980300.0,601032994.067,727.98,11.03,1657.0,29938061.3133
2018-01-07,2755.0,45933200.0,686136931.96,608.741608,12.59,2595.0,16444174.9072
2018-01-08,4258.0,85218400.0,717662537.58,654.089950168,13.17,4154.0,32371483.529
2018-01-09,1777.0,52787400.0,787242978.817,866.4,14.44,1716.0,20088005.2417
2018-01-10,1600.0,35351900.0,792259777.985,911.5321563,14.54,1674.0,11551800.2561
2018-01-11,2705.0,26521200.0,705579210.408,552.51857124,13.03,2864.0,22343489.4882
2018-01-12,2013.0,21515000.0,625747959.02,451.840478051,11.55,2036.0,6124214.31961
2018-01-13,2517.0,22171100.0,660680948.781,430.92352,12.2,2375.0,10335383.1189
2018-01-14,2384.0,19307300.0,635162908.21,422.28,11.73,2392.0,34950425.9834
2018-01-15,1645.0,20113900.0,609059158.499,462.8986,11.26,1673.0,18021477.0462
2018-01-16,1969.0,20321200.0,723309052.742,485.260689175,10.32,2019.0,176405512.531
2018-01-17,1748.0,17122300.0,587611768.919,415.613888729,8.26,1794.0,13869459.3548
2018-01-18,1559.0,16360400.0,607925248.852,390.083793611,8.55,1553.0,9741625.28106
2018-01-19,1425.0,20608700.0,580618011.788,571.731907724,8.17,1635.0,7894833.07475
2018-01-20,1489.0,19744600.0,567949978.064,374.525318224,7.99,1604.0,6436947.23722
2018-01-21,1263.0,10749100.0,706249074.627,798.965677264,9.93,1332.0,10185387.3327
2018-01-22,1094.0,12546800.0,584467904.019,458.766719167,8.22,1160.0,505608044.038
2018-01-23,996.0,10705900.0,387681821.3,405.1937,7.39,1039.0,4634489.18397
2018-01-24,1051.0,15163100.0,395037599.606,277.742874266,7.53,1041.0,7524040.43678
2018-01-25,1137.0,14523300.0,421357733.125,453.457614271,8.04,1243.0,9671415.3678
2018-01-26,1178.0,17761400.0,396626535.985,379.62757065,7.5,1318.0,28864554.6498
2018-01-27,1041.0,11862100.0,420256621.543,312.754667371,7.93,1085.0,6661943.62831
2018-01-28,1171.0,14353800.0,421521412.092,512.457,7.95,1297.0,9327729.80004
2018-01-29,1072.0,10633100.0,409141933.882,465.38262327,7.71,1166.0,5369354.81607
2018-01-30,1003.0,11705600.0,403874974.511,559.911320368,7.61,1121.0,6494778.81531
